PSU Readback Voltage,PSU Readback Current,PSU Voltage Set,Load Current Set,DMM Voltage Measured,key,Programming/Voltage Absolute Error (V),Relative/Voltage Percentage Error (%),PSU Readback Voltage Error (V),PSU Readback Voltage Percentage Error (%)
20.99973,5.999935,21.0,6.0,20.999219,5,-0.0007809999999999206,-0.0007809999999999206,0.0005109999999994841,0.0005109999999994841
22.0003,5.999935,22.0,6.0,21.9996841,5,-0.00031590000000036866,-0.00031590000000036866,0.0006158999999996695,0.0006158999999996695
23.00089,5.999935,23.0,6.0,23.000128,5,0.000128000000000128,0.000128000000000128,0.000761999999998153,0.000761999999998153
23.99947,5.999935,24.0,6.0,23.998845,5,-0.0011550000000006833,-0.0011550000000006833,0.0006249999999994316,0.0006249999999994316
25.0001,5.999935,25.0,6.0,24.9993827,5,-0.0006172999999982665,-0.0006172999999982665,0.0007172999999980334,0.0007172999999980334
26.00176,5.999935,26.0,6.0,25.9999582,5,-4.18000000017571e-05,-4.18000000017571e-05,0.001801800000002629,0.001801800000002629
1.000936,6.999936,1.0,7.0,1.00019975,6,0.00019974999999994303,0.00019974999999994303,0.0007362500000001049,0.0007362500000001049
2.000071,6.999936,2.0,7.0,2.00044232,6,0.00044231999999988503,0.00044231999999988503,-0.00037131999999973075,-0.00037131999999973075
2.998217,7.000261,3.0,7.0,2.99895277,6,-0.0010472300000001766,-0.0010472300000001766,-0.0007357699999999134,-0.0007357699999999134
3.999412,7.000261,4.0,7.0,3.9994461,6,-0.000553899999999885,-0.000553899999999885,-3.41000000001479e-05,-3.41000000001479e-05
4.999619,7.000261,5.0,7.0,4.99978783,6,-0.00021217000000017805,-0.00021217000000017805,-0.00016882999999978665,-0.00016882999999978665
5.999847,7.000261,6.0,7.0,6.00024906,6,0.0002490599999998011,0.0002490599999998011,-0.00040205999999987085,-0.00040205999999987085
6.998078,7.000261,7.0,7.0,6.99889421,6,-0.0011057900000004395,-0.0011057900000004395,-0.0008162099999999839,-0.0008162099999999839
7.998348,7.000586,8.0,7.0,7.99936342,6,-0.0006365800000001087,-0.0006365800000001087,-0.001015419999999878,-0.001015419999999878
8.999648,7.000261,9.0,7.0,8.99991857,6,-8.142999999982692e-05,-8.142999999982692e-05,-0.00027056999999963693,-0.00027056999999963693
9.997941,7.000586,10.0,7.0,9.99853699,6,-0.0014630100000001534,-0.0014630100000001534,-0.0005959899999989915,-0.0005959899999989915
